place_en_hemicycle;sexe
1;H
2;H
3;H
5;F
6;F
7;H
8;H
9;F
10;H
11;H
12;H
13;H
14;F
15;F
16;F
17;H
18;H
19;H
20;F
21;H
22;F
23;H
24;F
25;H
26;H
27;H
28;H
30;H
31;H
32;H
33;H
35;H
36;H
38;H
39;H
40;F
41;H
43;H
44;F
45;H
47;H
48;H
49;H
50;H
51;H
52;H
53;H
54;H
56;H
57;H
58;H
59;H
60;F
62;H
63;F
64;H
66;H
67;F
68;F
70;H
71;H
72;H
73;H
75;H
76;H
77;H
78;H
79;H
80;H
81;H
82;H
83;F
84;H
85;F
86;H
87;F
88;H
89;H
90;F
91;H
92;H
93;H
94;H
95;F
96;H
97;F
98;H
99;H
100;H
101;H
102;F
103;H
104;H
105;H
106;H
108;H
109;F
110;H
111;H
112;H
113;H
114;H
116;H
117;H
118;H
119;F
120;H
122;H
123;H
124;H
125;H
126;H
127;H
128;H
129;H
130;H
132;F
133;F
134;F
135;H
136;H
137;H
138;F
139;H
140;H
141;H
143;H
144;H
145;F
146;H
147;H
148;H
149;H
150;F
151;F
152;H
153;H
154;H
155;H
156;F
157;F
158;F
162;H
163;F
164;H
165;H
166;H
167;H
168;H
169;H
170;F
171;H
172;F
173;F
174;F
175;H
176;F
177;F
178;H
179;H
180;H
181;H
182;H
183;H
184;H
185;F
186;H
187;H
188;H
189;F
190;H
191;F
192;F
193;H
195;F
196;H
197;F
198;H
199;H
200;F
201;F
203;F
204;F
205;H
206;H
207;H
209;H
210;H
211;F
212;H
213;H
214;F
215;H
216;F
217;F
219;H
220;F
221;F
222;F
223;H
224;F
225;H
226;H
227;H
228;F
230;H
231;F
232;H
233;H
234;H
235;H
236;H
237;H
238;F
239;F
240;F
241;H
242;F
243;H
244;F
245;H
248;H
249;H
250;H
251;F
253;H
254;F
255;H
256;F
257;F
258;F
259;H
260;H
261;F
262;F
263;F
264;H
265;H
266;F
267;H
268;F
269;H
270;F
271;H
272;H
273;H
274;H
276;H
277;F
278;F
279;F
280;F
281;F
282;F
284;F
285;H
286;F
287;F
288;F
290;F
291;F
292;F
293;H
294;F
295;H
296;F
297;H
298;H
300;H
301;F
302;F
303;H
304;F
305;H
306;F
307;F
308;H
309;H
311;H
312;H
313;H
314;F
315;F
317;F
318;F
319;H
320;H
321;H
322;F
323;F
324;F
325;H
326;F
327;F
329;F
330;H
331;F
332;H
333;H
334;F
335;F
336;F
337;H
338;F
339;H
340;F
341;F
342;H
343;H
344;F
345;H
346;F
347;F
348;F
349;F
350;F
351;F
352;H
353;H
354;H
356;H
357;H
358;F
359;H
360;F
361;F
362;H
364;F
365;F
366;H
367;F
368;H
370;F
371;H
372;F
373;H
374;H
375;F
376;H
377;H
378;F
380;H
381;H
382;F
383;H
384;F
385;F
386;H
387;H
388;H
389;H
391;F
392;H
393;F
394;H
395;H
397;F
398;F
399;F
400;H
401;F
402;H
403;H
404;H
405;H
406;H
407;H
409;F
410;H
411;F
412;H
413;F
414;H
415;H
416;H
417;H
418;F
419;H
420;H
421;H
422;H
423;H
424;F
425;F
426;H
427;F
428;H
429;H
430;H
431;F
432;H
433;F
434;F
436;H
437;H
438;F
439;H
440;F
441;F
442;F
444;H
445;H
446;F
447;F
448;H
450;F
451;F
452;F
453;H
454;H
455;F
456;F
457;H
458;H
460;F
461;F
462;F
463;F
464;H
465;H
466;H
467;H
468;H
469;H
471;H
472;F
473;F
474;H
475;F
478;H
479;F
480;F
481;F
482;H
483;H
484;F
485;F
486;F
487;H
488;F
494;H
495;H
496;F
497;H
498;H
499;F
500;H
501;H
502;F
503;H
504;H
505;F
506;H
507;F
508;H
509;F
510;H
511;F
512;F
513;F
514;H
515;F
516;H
517;H
518;H
519;H
520;H
522;F
523;H
524;F
525;F
526;H
527;F
528;F
530;F
531;H
532;H
533;F
534;F
536;H
537;F
538;F
539;H
540;H
541;H
542;H
543;H
544;H
546;H
547;H
548;H
549;F
550;F
551;H
552;F
553;H
554;H
555;F
557;H
558;H
559;H
560;H
561;F
564;H
565;H
566;H
567;F
568;H
569;F
570;F
571;H
572;F
573;F
574;H
576;H
577;F
578;H
580;F
581;F
582;H
583;H
584;H
585;H
586;H
587;H
588;F
589;H
590;H
591;H
592;H
593;F
594;F
595;H
596;F
597;H
599;H
600;F
601;H
602;F
603;H
604;F
606;H
607;F
609;F
610;H
611;F
612;H
614;F
615;H
616;H
618;F
619;H
620;F
621;H
623;H
624;F
625;H
626;H
627;H
628;F
629;H
630;H
632;H
633;F
634;H
636;F
637;H
638;H
639;F
640;H
642;F
643;F
644;F
645;H
648;H
649;H
650;H
